Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
False Witness (no page found),N/A,N/A,N/A,N/A
A Good Woman Is Hard to Find,92%,49,69%,52
Otherhood,23%,26,54%,190
The Wretched,67%,9,29%,22
Prey,N/A,N/A,N/A,N/A
Ardaas Karaan,N/A,N/A,N/A,N/A
Secret Obsession,N/A,N/A,N/A,N/A
Kadaram Kondan (no page found),N/A,N/A,N/A,N/A
Aame (no page found),N/A,N/A,N/A,N/A
1BR,87%,60,N/A,N/A
The Banana Splits,71%,17,52%,167
iSmart Shankar,N/A,N/A,61%,33
Cosmos,N/A,N/A,79%,388
Never Grow Old,90%,21,64%,118
General (no page found),N/A,N/A,N/A,N/A
Fast & Furious Presents: Hobbs & Shaw,67%,337,88%,"27,689"
I'm No Longer Here (Ya no estoy aquí),100%,30,96%,46
Super 30,31%,13,92%,341
Point Blank,91%,79,77%,"5,056"
Sivappu Manjal Pachai,N/A,N/A,N/A,N/A
Ne Zha,N/A,N/A,N/A,N/A
Crawl,63%,8,20%,180
The Lion King,93%,128,93%,"1,269,333"
18am Padi (no page found),N/A,N/A,N/A,N/A
Oh Baby (Netherlands),N/A,N/A,91%,198
