Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
116,Incendies,0.8222463222779443,"Drama, Mystery, War",R,2h 11min,12 January 2011 (France)
117,The Apartment,0.822239840140391,"Comedy, Drama, Romance",Not Rated,2h 5min,16 September 1960 (France)
118,Double Indemnity,0.8222014291203411,"Crime, Drama, Film-Noir",Passed,1h 47min,6 July 1944 (USA)
119,To Kill a Mockingbird,0.8216751094273457,"Crime, Drama",Approved,2h 9min,16 March 1963 (USA)
120,Indiana Jones and the Last Crusade,0.8211738928226511,"Action, Adventure",PG-13,2h 7min,24 May 1989 (USA)
121,Up,0.8211282897224012,"Animation, Adventure, Comedy",PG,1h 36min,29 May 2009 (USA)
122,L.A. Confidential,0.8203521957811466,"Crime, Drama, Mystery",R,2h 18min,19 September 1997 (USA)
123,Come and See,0.8202808981300063,"Drama, War",Not Rated,2h 22min,17 October 1985 (Hungary)
124,Heat,0.8201703716562128,"Crime, Drama, Thriller",R,2h 50min,15 December 1995 (USA)
125,Monty Python and the Holy Grail,0.8197712802446248,"Adventure, Comedy, Fantasy",PG,1h 31min,25 May 1975 (UK)
126,Die Hard,0.819439205716243,"Action, Thriller",R,2h 12min,20 July 1988 (USA)
127,Rashômon,0.8192788493717302,"Crime, Drama, Mystery",Not Rated,1h 28min,26 December 1951 (USA)
128,Yojimbo,0.8190896891137834,"Action, Drama, Thriller",Not Rated,1h 50min,13 September 1961 (USA)
129,Batman Begins,0.819043276236078,"Action, Adventure",PG-13,2h 20min,15 June 2005 (USA)
130,Green Book,0.8187103262953487,"Biography, Comedy, Drama",PG-13,2h 10min,16 November 2018 (USA)
131,Downfall,0.818545872407816,"Biography, Drama, History",R,2h 36min,8 April 2005 (USA)
132,Children of Heaven,0.8184604687898936,"Drama, Family, Sport",PG,1h 29min,22 January 1999 (USA)
133,Unforgiven,0.818265715793639,"Drama, Western",R,2h 10min,7 August 1992 (USA)
134,Some Like It Hot,0.8176109110271724,"Comedy, Music, Romance",Not Rated,2h 1min,19 March 1959 (USA)
135,Ran,0.8174472245672038,"Action, Drama, War",R,2h 42min,1 June 1985 (Japan)
136,Howl's Moving Castle,0.8167956779535486,"Animation, Adventure, Family",PG,1h 59min,17 June 2005 (USA)
137,The Great Escape,0.8161721435702981,"Adventure, Drama, History",Not Rated,2h 52min,4 July 1963 (USA)
138,A Beautiful Mind,0.8161294895836371,"Biography, Drama",PG-13,2h 15min,4 January 2002 (USA)
139,All About Eve,0.8161225584659096,Drama,Passed,2h 18min,27 October 1950 (USA)
140,Casino,0.8159585667803384,"Crime, Drama",R,2h 58min,22 November 1995 (USA)
141,Pan's Labyrinth,0.8155136398484315,"Drama, Fantasy, War",R,1h 58min,19 January 2007 (USA)
142,The Wolf of Wall Street,0.8152709437312122,"Biography, Crime, Drama",R,3h,25 December 2013 (USA)
143,The Secret in Their Eyes,0.8150788036417895,"Drama, Mystery, Romance",R,2h 9min,21 May 2010 (USA)
144,"Lock, Stock and Two Smoking Barrels",0.8149282562209317,"Action, Comedy, Crime",R,1h 47min,28 August 1998 (UK)
145,My Neighbor Totoro,0.8149157702298222,"Animation, Family, Fantasy",G,1h 26min,13 July 1990 (USA)
146,Raging Bull,0.8148957209302674,"Biography, Drama, Sport",R,2h 9min,19 December 1980 (USA)
147,There Will Be Blood,0.8142107637635856,Drama,R,2h 38min,25 January 2008 (USA)
148,The Treasure of the Sierra Madre,0.814040298454973,"Adventure, Drama, Western",Passed,2h 6min,24 January 1948 (USA)
149,Judgment at Nuremberg,0.8138695803303941,"Drama, War",Approved,2h 59min,18 December 1961 (Sweden)
